Year,Name,team,salary,bloodType,height,weight,UniformNum,position,Games,AtBats,Hit,HR,Win,Lose,Save,Hold
2011年度,ハーパー,DeNA,3000,不明,193,112,42,内野手,103,320,89,9,NA,NA,NA,NA
2011年度,牛田　成樹,DeNA,2600,A型,188,84,35,投手,45,NA,NA,NA,2,1,0,19
2011年度,大沼　幸二,DeNA,2500,O型,178,81,13,投手,14,NA,NA,NA,0,0,0,1
2011年度,加賀　繁,DeNA,2500,B型,182,84,16,投手,29,NA,NA,NA,4,3,0,3
2011年度,武山　真吾,DeNA,2000,O型,177,86,61,捕手,46,88,11,1,NA,NA,NA,NA
2011年度,一輝,DeNA,2000,B型,180,87,9,内野手,49,58,12,0,NA,NA,NA,NA
2011年度,ハミルトン,DeNA,2000,不明,196,91,38,投手,18,NA,NA,NA,1,4,0,0
2011年度,稲田　直人,DeNA,1850,B型,177,78,00,内野手,61,42,10,0,NA,NA,NA,NA
2011年度,高崎　健太郎,DeNA,1800,O型,176,82,22,投手,29,NA,NA,NA,5,15,0,0
2011年度,小林　太志,DeNA,1640,B型,183,84,14,投手,17,NA,NA,NA,4,3,0,0
2011年度,須田　幸太,DeNA,1500,A型,175,76,20,投手,17,NA,NA,NA,2,6,0,0
2011年度,細山田　武史,DeNA,1230,A型,179,75,36,捕手,84,130,27,1,NA,NA,NA,NA
2011年度,山崎　憲晴,DeNA,1220,O型,176,79,0,内野手,21,38,4,0,NA,NA,NA,NA
2011年度,藤江　均,DeNA,1200,O型,177,77,19,投手,47,NA,NA,NA,3,0,0,15
2011年度,篠原　貴行,DeNA,1200,B型,178,80,34,投手,67,NA,NA,NA,1,0,0,17
2011年度,加賀美　希昇,DeNA,1200,O型,186,88,21,投手,1,NA,NA,NA,1,0,0,0
2011年度,早川　大輔,DeNA,1200,A型,177,80,37,外野手,1,1,0,0,NA,NA,NA,NA
2011年度,荒波　翔,DeNA,1200,A型,178,78,4,外野手,28,86,22,0,NA,NA,NA,NA
2011年度,松本　啓二朗,DeNA,1140,O型,180,78,6,外野手,47,104,22,0,NA,NA,NA,NA
2011年度,井手　正太郎,DeNA,1100,O型,179,79,26,外野手,13,23,5,0,NA,NA,NA,NA
2011年度,新沼　慎二,DeNA,1100,A型,185,89,29,捕手,45,62,15,1,NA,NA,NA,NA
2011年度,内藤　雄太,DeNA,1060,O型,182,84,39,外野手,99,184,41,1,NA,NA,NA,NA
2011年度,大原　慎司,DeNA,1000,A型,174,65,41,投手,71,NA,NA,NA,4,1,0,11
2011年度,ブランドン,DeNA,1000,不明,188,87,52,投手,12,NA,NA,NA,1,1,0,1
2011年度,小林　寛,DeNA,1000,AB型,180,87,12,投手,6,NA,NA,NA,0,2,0,0
2011年度,筒香　嘉智,DeNA,900,A型,184,95,8,内野手,40,145,35,8,NA,NA,NA,NA
2011年度,小杉　陽太,DeNA,860,O型,187,88,54,投手,5,NA,NA,NA,0,1,0,0
2011年度,田中　健二朗,DeNA,820,B型,178,74,46,投手,1,NA,NA,NA,0,0,0,0
2011年度,福山　博之,DeNA,740,B型,174,70,45,投手,19,NA,NA,NA,0,1,0,0
2011年度,桑原　義行,DeNA,720,A型,180,86,40,外野手,1,1,0,0,NA,NA,NA,NA
2011年度,阿斗里,DeNA,720,A型,190,95,58,投手,3,NA,NA,NA,0,1,0,0
2011年度,佐藤　祥万,DeNA,700,B型,172,78,60,投手,10,NA,NA,NA,0,0,0,3
2011年度,黒羽根　利規,DeNA,680,A型,178,84,59,捕手,45,97,17,1,NA,NA,NA,NA
2011年度,北　篤,DeNA,670,A型,182,83,43,内野手,12,21,5,0,NA,NA,NA,NA
2011年度,ゴンザレス,DeNA,600,不明,183,93,32,投手,2,NA,NA,NA,1,1,0,0
2011年度,眞下　貴之,DeNA,550,A型,188,85,47,投手,5,NA,NA,NA,1,0,0,0
2011年度,中村　紀洋,DeNA,500,O型,180,93,99,内野手,62,115,24,1,NA,NA,NA,NA
2011年度,ラミレス,Giants,45000,不明,180,86,5,外野手,137,477,133,23,NA,NA,NA,NA
2011年度,小笠原　道大,Giants,43000,A型,178,83,2,内野手,83,281,68,5,NA,NA,NA,NA
2011年度,阿部　慎之助,Giants,40000,A型,180,97,10,捕手,114,390,114,20,NA,NA,NA,NA
2011年度,高橋　由伸,Giants,35000,O型,180,87,24,外野手,95,256,63,15,NA,NA,NA,NA
2011年度,大村　三郎,Giants,13000,B型,181,85,0,外野手,48,103,25,1,NA,NA,NA,NA
2011年度,谷　佳知,Giants,13000,O型,173,77,8,外野手,83,135,37,0,NA,NA,NA,NA
2011年度,内海　哲也,Giants,12000,A型,186,90,26,投手,28,NA,NA,NA,18,5,0,0
2011年度,ＭＩＣＨＥＡＬ,Giants,12000,A型,178,82,36,投手,7,NA,NA,NA,1,0,0,0
2011年度,坂本　勇人,Giants,12000,AB型,184,75,6,内野手,144,568,149,16,NA,NA,NA,NA
2011年度,山口　鉄也,Giants,11000,A型,184,83,47,投手,60,NA,NA,NA,5,1,2,25
2011年度,ゴンザレス,Giants,11000,不明,178,90,49,投手,13,NA,NA,NA,3,3,0,0
2011年度,ライアル,Giants,8000,不明,188,91,33,内野手,33,96,19,0,NA,NA,NA,NA
2011年度,アルバラデホ,Giants,8000,不明,196,118,41,投手,46,NA,NA,NA,2,2,2,6
2011年度,越智　大祐,Giants,8000,A型,184,85,22,投手,42,NA,NA,NA,3,2,0,11
2011年度,グライシンガー,Giants,8000,不明,190,90,29,投手,9,NA,NA,NA,1,5,0,0
2011年度,東野　峻,Giants,7500,AB型,186,87,17,投手,31,NA,NA,NA,8,11,2,0
2011年度,藤井　秀悟,Giants,7000,A型,175,86,99,投手,1,NA,NA,NA,0,0,0,0
2011年度,高橋　信二,Giants,7000,A型,182,85,31,内野手,27,44,8,0,NA,NA,NA,NA
2011年度,久保　裕也,Giants,6500,B型,177,80,11,投手,67,NA,NA,NA,4,2,20,21
2011年度,脇谷　亮太,Giants,4400,A型,176,74,23,内野手,53,154,27,0,NA,NA,NA,NA
2011年度,亀井　義行,Giants,4200,AB型,178,80,9,内野手,111,284,70,3,NA,NA,NA,NA
2011年度,鶴岡　一成,Giants,4000,A型,183,85,43,捕手,34,55,12,0,NA,NA,NA,NA
2011年度,トーレス,Giants,4000,A型,188,82,42,投手,6,NA,NA,NA,1,2,0,0
2011年度,鈴木　尚広,Giants,4000,A型,180,78,12,外野手,90,58,11,0,NA,NA,NA,NA
2011年度,長野　久義,Giants,3500,O型,180,80,7,外野手,140,519,164,17,NA,NA,NA,NA
2011年度,古城　茂幸,Giants,3200,B型,174,77,51,内野手,74,134,33,1,NA,NA,NA,NA
2011年度,高木　康成,Giants,3000,A型,182,77,13,投手,46,NA,NA,NA,1,3,0,12
2011年度,西村　健太朗,Giants,2800,A型,184,90,35,投手,37,NA,NA,NA,7,5,0,4
2011年度,松本　哲也,Giants,2700,O型,168,64,32,外野手,20,19,1,0,NA,NA,NA,NA
