Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
藤井　亮太,Swallows,1100,内野手,7,176,73,A型,右,左,兵庫,1988-09-30,0,0.278,10,20,18,5,0,0,0,1,0,3,1,0,0.316,0.278,0.594,3.3,3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
奥村　展征,Swallows,1400,内野手,7,178,76,O型,右,左,滋賀,1995-05-26,00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
山田　哲人,Swallows,50000,内野手,10,180,76,O型,右,右,兵庫,1992-07-16,1,0.254,94,384,334,85,12,52,8,48,0,83,0,6,0.346,0.419,0.766,5.15,5.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
エスコバー,Swallows,8720,内野手,1,185,88,不明,右,右,ベネズエラ,1986-12-16,2,0.273,104,402,377,103,1,30,6,13,9,52,1,9,0.312,0.329,0.641,3.3,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
西浦　直亨,Swallows,3000,内野手,7,178,75,B型,右,右,奈良,1991-04-11,3,0.245,101,310,286,70,10,43,4,16,2,74,4,11,0.288,0.385,0.672,3.3,3.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
川端　慎吾,Swallows,4000,内野手,15,185,86,O型,右,左,大阪,1987-10-16,5,0.128,39,42,39,5,0,2,0,3,0,4,0,1,0.19,0.128,0.319,-0.19,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
中山　翔太,Swallows,1500,外野手,2,185,95,A型,右,右,大阪,1996-09-22,8,0.229,29,53,48,11,4,8,0,3,1,19,0,2,0.283,0.5,0.783,4.31,4.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
塩見　泰隆,Swallows,1050,外野手,3,179,76,B型,右,右,神奈川,1993-06-12,9,0.279,43,179,154,43,8,21,13,17,5,44,3,4,0.369,0.487,0.856,6.49,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
荒木　貴裕,Swallows,3000,内野手,11,180,84,AB型,右,右,富山,1987-07-26,10,0.164,63,84,73,12,1,7,0,6,1,18,3,3,0.235,0.247,0.481,1.23,1.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
奥川　恭伸,Swallows,1600,投手,1,184,82,O型,右,右,石川,2001-04-16,11,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5,0,1,0,0,0,15,2,9,1,0,0,2,5,5,4.5,7.62
石山　泰稚,Swallows,8000,投手,8,182,75,A型,右,右,秋田,1988-09-01,12,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.01,3,2,20,4,0.6,186,44.2,42,2,11,1,58,10,10,1.19,1.78
中尾　輝,Swallows,1550,投手,4,180,83,B型,左,左,愛知,1994-09-14,13,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,0,0,0,41,9,9,3,5,0,6,5,5,1.56,7.79
高梨　裕稔,Swallows,3300,投手,7,187,90,B型,右,右,千葉,1991-06-05,14,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.12,3,6,0,0,0.333,412,94,101,11,38,0,84,43,43,1.48,3.97
大下　佑馬,Swallows,1500,投手,3,179,83,O型,右,左,広島,1992-07-06,15,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.51,0,1,0,0,0,72,16.1,20,2,3,0,10,11,10,1.41,3.85
原　樹理,Swallows,3300,投手,5,180,79,A型,右,右,兵庫,1993-07-19,16,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19,2,2,0,1,0.5,88,17.1,20,6,13,1,14,16,10,1.9,8.43
清水　昇,Swallows,1400,投手,2,180,84,A型,右,左,東京,1996-10-15,17,NA,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.54,0,4,0,30,0,221,53.1,45,10,16,1,58,23,21,1.14,4.28
